,Siruta,Localitate,Plante
792,174218,Voicesti,0.0
793,75917,Certesti,0.0
794,18581,Sapata,0.0
795,149655,Ostra,0.0
796,67737,I. L. Caragiale,0.0
797,108696,Ruscova,0.0
798,133278,Fantanele,0.0
799,100521,Municipiul Giurgiu,22586.0
800,34985,Teaca,0.0
801,108712,Satulung,0.0
802,125098,Dochia,0.0
803,166057,Stefan Cel Mare,0.0
804,43180,Galbenu,0.0
805,174254,Voineasa,0.0
806,75953,Corod,0.0
807,125105,Ruginoasa,0.0
808,149682,Panaci,118193.0
809,10417,Chisindia,0.0
810,26804,Municipiul Beius,0.0
811,84148,Corbu,0.0
812,51387,Berliste,0.0
813,125114,Ghindaoani,0.0
814,67773,Lucieni,0.0
815,59586,Sanpaul,0.0
816,125123,Valeni,0.0
817,100549,Slobozia,0.0
818,157898,Nadrag,0.0
819,116938,Ganesti,431192.0
820,125132,Draganesti,0.0
821,84175,Corund,0.0
822,133330,Floresti,0.0
823,174290,Zatreni,0.0
824,125141,Pancesti,0.0
825,10453,Conop,0.0
826,26840,Oras Stei,0.0
827,141535,Horoatu Crasnei,0.0
828,125150,Gadinti,0.0
829,100576,Oras Buftea,61475.0
830,157923,Nitchidorf,0.0
831,76004,Corni,0.0
832,43242,Gemenele,0.0
833,18670,Schitu Golesti,0.0
834,35054,Telciu,0.0
835,125169,Negresti,0.0
836,116983,Gheorghe Doja,0.0
837,51449,Berzasca,0.0
838,67835,Ludesti,0.0
839,108794,Sacalaseni,0.0
840,125178,Boghicea,0.0
841,149753,Paltinoasa,0.0
842,166137,Suletea,0.0
843,26877,Municipiul Marghita,161393.0
844,100610,Municipiul Oltenita,0.0
845,2309,Almasu Mare,0.0
846,59657,Suatu,0.0
847,76040,Cosmesti,333168.0
848,84237,Danesti,0.0
849,141580,Ileanda,0.0
850,43279,Gradistea,0.0
851,133394,Fulga,0.0
852,10514,Covasint,0.0
853,35090,Tiha Bargaului,126016.0
854,157969,Ohaba Lunga,0.0
855,149780,Partestii De Jos,0.0
856,100638,Mitreni,0.0
857,10532,Craiva,0.0
858,166182,Tanacu,0.0
859,26920,Oras Nucet,0.0
860,84264,Dealu,0.0
861,51500,Berzovia,0.0
862,59693,Tritenii De Jos,0.0
863,43313,Gropeni,0.0
864,117042,Ghindari,143631.0
865,18741,Slobozia,0.0
866,133429,Gherghita,0.0
867,158010,Ortisoara,0.0
868,43331,Oras Ianca,0.0
869,67906,Lunguletu,0.0
870,100683,Municipiul Urziceni,0.0
871,108874,Sacel,0.0
872,149833,Patrauti,22209.0
873,2381,Arieseni,0.0
874,76111,Costache Negri,0.0
875,35152,Tarlisua,0.0
876,149851,Poiana Stampei,0.0
